Product StockKeepingUnit,Price (01s68000002d6IvAAI) EUR,Price (01s68000002d6IvAAI) RON,IsActive
5200568373,,49.92,true
5200568374,,55.22,true
5200568375,,83.79,true
5200568376,,79.8,true
5200568377,,49.18,true
5200568378,,74.62,true
5200568379,,71.07,true
5200568380,,102.15,true
5200568381,,17.26,true
5200568382,,15.6,true
5200568383,,30.05,true
5200568386,,21.4,true
5200568387,,70.7,true
5200568388,,52.8,true
5200568389,,68.64,true
5200568572,,26.43,true
5200568576,,8.62,true
5200568577,,12.52,true
5200568586,,7.56,true
5200568588,,11,true
5200568592,,15.7,true
5200568614,,19.54,true
5200568615,,22.98,true
5200568617,,24.36,true
5200568619,,29.2,true
5200568620,,33.6,true
5200568637,,18.65,true
5200568641,,16.53,true
5200568713,,21.32,true
5200568762,,16.66,true
5200568889,711.69,3533.4,true
5200568892,80.91,401.7,true
5200568895,22.32,110.81,true
5200568897,28.92,143.58,true
5200568902,626.28,3109.35,true
5200568903,161.81,803.35,true
5200568904,16.93,84.05,true
5200568907,,237.6,true
5200568910,18.58,92.25,true
5200568911,23.22,115.28,true
5200568913,,8.43,true
5200568914,,8.82,true
5200568915,,12.22,true
5200568916,,12.87,true
5200568917,,13.52,true
5200568918,,13.87,true
5200568919,,14.08,true
5200568920,,14.62,true
5200568921,,16.77,true
5200568922,,18.66,true
5200568923,,20.6,true
5200568924,,11.84,true
5200568925,,12.43,true
5200568926,,16.18,true
5200568927,,16.87,true
5200568928,,17.93,true
5200568929,,18.49,true
5200568930,,18.72,true
5200568931,,19.58,true
5200568932,,22.45,true
5200568933,,24.66,true
5200568934,,27.02,true
5200568935,,30.39,true
5200568936,,33.03,true
5200568937,,34.06,true
5200568938,,38.11,true
5200568939,,39.08,true
5200568940,,53.02,true
5200568941,,47.61,true
5200568942,,61.23,true
5200568943,,65.39,true
5200568944,,82.99,true
5200568945,,86.18,true
5200568946,,89.28,true
5200568947,,92.88,true
5200568948,,16.39,true
5200568949,,16.94,true
5200568950,,21.11,true
5200568951,,22.21,true
5200568952,,23.63,true
5200568953,,24.26,true
5200568954,,24.86,true
5200568955,,25.37,true
5200568956,,29.01,true
5200568957,,31.79,true
5200568958,,34.56,true
5200568959,,40.09,true
5200568960,,42.72,true
5200568961,,43.46,true
5200568962,,48.37,true
5200568963,,51,true
5200568964,,56.94,true
5200568965,,58.6,true
5200568966,,73.19,true
5200568967,,92.04,true
5200568968,,97.77,true
5200568969,,102.01,true
5200568970,,107.47,true
5200568971,,112.28,true
5200568972,,21.79,true
5200568973,,22.66,true
5200568974,,26.84,true
5200568975,,28.46,true
5200568976,,29.98,true
5200568977,,30.91,true
5200568978,,31.81,true
5200568979,,32.49,true
5200568980,,36.67,true
5200568981,,37.74,true
5200568982,,43.37,true
5200568983,,50.12,true
5200568984,,53.12,true
5200568985,,54.05,true
5200568986,,60,true
5200568987,,61.62,true
5200568988,,68.44,true
5200568989,,72.73,true
5200568990,,86.07,true
5200568991,,106.31,true
5200568992,,113.46,true
5200568993,,118.77,true
5200568994,,126.59,true
5200568995,,132.59,true
5200568996,,28.27,true
5200568997,,29.27,true
5200568998,,33.72,true
5200568999,,35.83,true
5200569000,,37.26,true
5200569001,,38.66,true
5200569002,,39.59,true
5200569003,,40.7,true
5200569004,,45.36,true
5200569005,,50.43,true
5200569006,,54.03,true
5200569007,,61.51,true
5200569008,,64.89,true
5200569009,,66,true
5200569010,,71.22,true
5200569011,,75.38,true
5200569012,,83.08,true
5200569013,,85.57,true
5200569014,,99.88,true
5200569015,,121.5,true
5200569016,,130.09,true
5200569017,,136.46,true
5200569018,,146.63,true
5200569019,,153.83,true
5200569020,,44.14,true
5200569021,,45.72,true
5200569022,,51.36,true
5200569023,,53.58,true
5200569024,,55.47,true
5200569025,,56.95,true
5200569026,,58.58,true
5200569027,,60.05,true
5200569028,,66.69,true
5200569029,,72.6,true
5200569030,,76.07,true
5200569031,,86.63,true
5200569032,,90.75,true
5200569033,,92.23,true
5200569034,,98.65,true
5200569035,,105.67,true
5200569036,,115.12,true
5200569037,,118.45,true
5200569038,,143.57,true
5200569039,,154.65,true
5200569040,,166.1,true
5200569041,,174.6,true
5200569042,,189.48,true
5200569043,,53.29,true
5200569044,,56.06,true
5200569045,,62.67,true
5200569046,,65.17,true
5200569047,,67.29,true
5200569048,,71.17,true
5200569049,,72.01,true
5200569050,,73.67,true
5200569051,,79.52,true
5200569052,,86.17,true
5200569053,,89.36,true
5200569054,,103.91,true
5200569055,,108.39,true
5200569056,,110.05,true
5200569057,,117.08,true
5200569058,,119.99,true
5200569059,,130.31,true
5200569060,,134.05,true
5200569061,,160.15,true
5200569062,,172.61,true
5200569063,,185.49,true
5200569064,,195.05,true
5200569065,,64.42,true
5200569066,,67.13,true
5200569067,,72.69,true
5200569068,,75.46,true
5200569069,,77.82,true
5200569070,,81.89,true
5200569071,,87.25,true
5200569072,,86.43,true
5200569073,,95.5,true
5200569074,,102.89,true
5200569075,,108.89,true
5200569087,,12.63,true
5200569088,,12.96,true
5200569089,,15.77,true
5200569090,,16.64,true
5200569091,,17.46,true
5200569092,,17.95,true
5200569093,,18.22,true
5200569094,,18.89,true
5200569095,,21.46,true
5200569096,,23.9,true
5200569097,,26.29,true
5200569100,,16.45,true
5200569101,,17.18,true
5200569102,,21.3,true
5200569103,,22.23,true
5200569104,,23.52,true
5200569105,,24.24,true
5200569106,,24.56,true
5200569107,,25.6,true
5200569108,,29.02,true
5200569109,,31.9,true
5200569110,,34.83,true
5200569111,,37.42,true
5200569112,,40.33,true
5200569113,,41.49,true
5200569114,,46,true
5200569115,,47.21,true
5200569116,,61.8,true
5200569117,,56.7,true
5200569118,,71.04,true
5200569119,,76.22,true
5200569120,,94.89,true
5200569121,,98.86,true
5200569122,,103.72,true
5200569123,,108.21,true
5200569124,,21.01,true
5200569125,,21.66,true
5200569126,,26.04,true
5200569127,,27.35,true
5200569128,,28.94,true
5200569129,,29.7,true
5200569130,,30.38,true
5200569131,,31.02,true
5200569132,,35.07,true
5200569133,,38.4,true
5200569134,,41.62,true
5200569135,,47.8,true
5200569136,,50.71,true
5200569137,,51.59,true
5200569138,,56.94,true
5200569139,,59.81,true
5200569140,,66.4,true
5200569141,,68.37,true
5200569142,,83.68,true
5200569143,,103.56,true
5200569144,,110.35,true
5200569145,,115.39,true
5200569146,,122.6,true
5200569147,,128.29,true
5200569148,,27.09,true
5200569149,,28.07,true
5200569150,,32.46,true
5200569151,,34.29,true
5200569152,,35.98,true
5200569153,,37.04,true
5200569154,,38.01,true
5200569155,,38.83,true
5200569156,,43.42,true
5200569157,,45.04,true
5200569158,,51.11,true
5200569159,,58.51,true
5200569160,,61.8,true
5200569161,,62.86,true
5200569162,,69.26,true
5200569163,,71.11,true
5200569164,,78.59,true
5200569165,,83.19,true
5200569166,,97.25,true
5200569167,,118.52,true
5200569168,,126.74,true
5200569169,,132.84,true
5200569170,,142.4,true
5200569171,,149.3,true
5200569172,,34.26,true
5200569173,,35.36,true
5200569174,,40.02,true
5200569175,,42.34,true
5200569176,,43.94,true
5200569177,,45.48,true
5200569178,,46.47,true
5200569179,,47.72,true
5200569180,,52.8,true
5200569181,,58.42,true
5200569182,,62.46,true
5200569183,,70.6,true
5200569184,,74.25,true
5200569185,,75.49,true
5200569186,,81.16,true
5200569187,,85.56,true
5200569188,,93.91,true
5200569189,,96.71,true
5200569190,,111.74,true
5200569191,,134.39,true
5200569192,,144.05,true
5200569193,,151.21,true
5200569194,,163.13,true
5200569195,,171.22,true
5200569196,,51.5,true
5200569197,,53.19,true
5200569198,,59.04,true
5200569199,,61.46,true
5200569200,,63.53,true
5200569201,,65.14,true
5200569202,,66.84,true
