Product StockKeepingUnit,Price (01s68000002QhvpAAC) RON,Price (01s68000002QhvpAAC) EUR,IsActive
5200885584,143.66,,true
5200885585,237.65,,true
5200885586,199.85,,true
5200885587,160.35,,true
5200885588,148.67,,true
5200885589,143.66,,true
5200885590,237.65,,true
5200885591,199.85,,true
5200885592,160.35,,true
5200885593,148.67,,true
5200885594,143.66,,true
5200885595,237.65,,true
5200885596,199.85,,true
5200885597,160.35,,true
5200885598,148.67,,true
5200885599,143.66,,true
5200885600,237.65,,true
5200885601,199.85,,true
5200885602,160.35,,true
5200885603,148.67,,true
5200885604,143.66,,true
5200885605,237.65,,true
5200885606,199.85,,true
5200885607,160.35,,true
5200885608,148.67,,true
5200885609,143.66,,true
5200885610,237.65,,true
5200885611,199.85,,true
5200885612,160.35,,true
5200885613,148.67,,true
5200885614,143.66,,true
5200885615,237.65,,true
5200885616,199.85,,true
5200885617,160.35,,true
5200885618,148.67,,true
5200885619,143.66,,true
5200885620,237.65,,true
5200885621,199.85,,true
5200885622,160.35,,true
5200885623,148.67,,true
5200885624,143.66,,true
5200885625,140.28,,true
5200885626,237.65,,true
5200885627,199.85,,true
5200885628,160.35,,true
5200885629,148.67,,true
5200885630,143.66,,true
5200885631,237.65,,true
5200885632,199.85,,true
5200885633,160.35,,true
5200885634,148.67,,true
5200885635,143.66,,true
5200885636,237.65,,true
5200885637,199.85,,true
5200885638,160.35,,true
5200885639,148.67,,true
5200885640,143.66,,true
5200885641,237.65,,true
5200885642,199.85,,true
5200885643,160.35,,true
5200885644,148.67,,true
5200885645,143.66,,true
5200885646,237.65,,true
5200885647,199.85,,true
5200885648,160.35,,true
5200885649,148.67,,true
5200885650,143.66,,true
5200885651,140.28,,true
5200885652,237.65,,true
5200885653,199.85,,true
5200885654,160.35,,true
5200885655,148.67,,true
5200885656,143.66,,true
5200885657,237.65,,true
5200885658,199.85,,true
5200885659,160.35,,true
5200885660,148.67,,true
5200885661,143.66,,true
5200885662,237.65,,true
5200885663,199.85,,true
5200885664,160.35,,true
5200885665,148.67,,true
5200885666,143.66,,true
5200885667,237.65,,true
5200885668,199.85,,true
5200885669,160.35,,true
5200885670,148.67,,true
5200885758,318.27,,true
5200885759,318.27,,true
5200885760,318.27,,true
5200885761,318.27,,true
5200885762,318.27,,true
5200885763,318.27,,true
5200885764,318.27,,true
5200885765,318.27,,true
5200885766,318.27,,true
5200885767,318.27,,true
5200885768,318.27,,true
5200885769,318.27,,true
5200885770,318.27,,true
5200885771,232.48,,true
5200885772,242.58,,true
5200885773,224.26,,true
5200885774,224.26,,true
5200885775,242.58,,true
5200885776,232.48,,true
5200885777,242.58,,true
5200885778,232.48,,true
5200885779,224.26,,true
5200885780,232.48,,true
5200885781,224.26,,true
5200885782,224.26,,true
5200885783,224.26,,true
5200885784,224.26,,true
5200885785,242.58,,true
5200885786,224.26,,true
5200885700,160.35,,true
5200885701,148.67,,true
5200885702,143.66,,true
5200885703,237.65,,true
5200885704,199.85,,true
5200885705,160.35,,true
5200885706,148.67,,true
5200885707,143.66,,true
5200885708,237.65,,true
5200885709,199.85,,true
5200885710,160.35,,true
5200885711,148.67,,true
5200885712,143.66,,true
5200885713,237.65,,true
5200885714,199.85,,true
5200885715,160.35,,true
5200885716,148.67,,true
5200885717,143.66,,true
5200885718,218.69,,true
5200885719,318.27,,true
5200885720,318.27,,true
5200885721,318.27,,true
5200885722,318.27,,true
5200885723,318.27,,true
5200885724,318.27,,true
5200885725,318.27,,true
5200885726,318.27,,true
5200885727,318.27,,true
5200885728,318.27,,true
5200885729,318.27,,true
5200885730,318.27,,true
5200885731,318.27,,true
5200885732,318.27,,true
5200885733,318.27,,true
5200885734,318.27,,true
5200885735,318.27,,true
5200885736,318.27,,true
5200885737,318.27,,true
5200885738,318.27,,true
5200885739,318.27,,true
5200885740,318.27,,true
5200885741,318.27,,true
5200885742,318.27,,true
5200885743,318.27,,true
5200885744,318.27,,true
5200885745,318.27,,true
5200885746,318.27,,true
5200885747,318.27,,true
5200885748,318.27,,true
5200885749,318.27,,true
5200885750,318.27,,true
5200885751,318.27,,true
5200885752,318.27,,true
5200885753,318.27,,true
5200885754,318.27,,true
5200885755,318.27,,true
5200885756,318.27,,true
5200885757,318.27,,true
5200885671,143.66,,true
5200885672,237.65,,true
5200885673,199.85,,true
5200885674,160.35,,true
5200885675,148.67,,true
5200885676,143.66,,true
5200885677,237.65,,true
5200885678,199.85,,true
5200885679,160.35,,true
5200885680,148.67,,true
5200885681,143.66,,true
5200885682,237.65,,true
5200885683,199.85,,true
5200885684,160.35,,true
5200885685,148.67,,true
5200885686,143.66,,true
5200885687,237.65,,true
5200885688,199.85,,true
5200885689,160.35,,true
5200885690,148.67,,true
5200885691,143.66,,true
5200885692,140.28,,true
5200885693,237.65,,true
5200885694,199.85,,true
5200885695,160.35,,true
5200885696,148.67,,true
5200885697,143.66,,true
5200885698,237.65,,true
5200885699,199.85,,true
5200885497,148.67,,true
5200885498,143.66,,true
5200885499,199.85,,true
5200885500,160.35,,true
5200885501,148.67,,true
5200885502,143.66,,true
5200885503,237.65,,true
5200885504,199.85,,true
5200885505,160.35,,true
5200885506,148.67,,true
5200885507,143.66,,true
5200885508,237.65,,true
5200885509,199.85,,true
5200885510,160.35,,true
5200885511,148.67,,true
5200885512,143.66,,true
5200885513,237.65,,true
5200885514,199.85,,true
5200885515,160.35,,true
5200885516,148.67,,true
5200885517,143.66,,true
5200885518,237.65,,true
5200885519,199.85,,true
5200885520,160.35,,true
5200885521,148.67,,true
5200885522,143.66,,true
5200885523,140.28,,true
5200885524,237.65,,true
5200885525,199.85,,true
5200885526,160.35,,true
5200885527,148.67,,true
5200885528,143.66,,true
5200885529,237.65,,true
5200885530,199.85,,true
5200885531,160.35,,true
5200885532,148.67,,true
5200885533,143.66,,true
5200885534,237.65,,true
5200885535,199.85,,true
5200885536,160.35,,true
5200885537,148.67,,true
5200885538,143.66,,true
5200885539,237.65,,true
5200885540,199.85,,true
5200885541,160.35,,true
5200885542,148.67,,true
5200885543,143.66,,true
5200885544,237.65,,true
5200885545,199.85,,true
5200885546,160.35,,true
5200885547,148.67,,true
5200885548,143.66,,true
5200885549,237.65,,true
5200885550,199.85,,true
5200885551,160.35,,true
5200885552,148.67,,true
5200885553,143.66,,true
5200885554,237.65,,true
5200885555,199.85,,true
5200885556,160.35,,true
5200885557,148.67,,true
5200885558,143.66,,true
5200885559,237.65,,true
5200885560,199.85,,true
5200885561,160.35,,true
5200885562,148.67,,true
5200885563,143.66,,true
5200885564,140.28,,true
5200885565,237.65,,true
5200885566,199.85,,true
5200885567,160.35,,true
5200885568,148.67,,true
