Product StockKeepingUnit,Price (01s68000002Qj2NAAS) EUR,IsActive
5200447967,31.38,true
5200451780,12.95,true
5200452777,41.88,true
5200550901,148.32,true
5200550904,567.84,true
5200550905,626.88,true
5200550907,421.92,true
5200550908,323.52,true
5200550912,348.3,true
5200550913,324.54,true
5200550919,169.44,true
5200550920,328.32,true
5200554100,130.08,true
5200554102,218.4,true
5200554103,126.42,true
5200554105,142.8,true
5200554106,166.56,true
5200554108,123.06,true
5200554111,35.27,true
5200554112,35.27,true
5200554113,35.27,true
5200554114,35.27,true
5200554115,35.27,true
5200554116,11.51,true
5200554117,11.51,true
5200554118,11.51,true
5200554119,11.51,true
5200554120,11.51,true
5200554281,44.87,true
5200554282,44.87,true
5200554283,44.87,true
5200554286,44.87,true
5200554287,44.87,true
5200554288,44.87,true
5200554289,44.87,true
5200554290,44.87,true
5200554291,44.87,true
5200554293,44.87,true
5200554545,30.6,true
5200554546,31.13,true
5200554549,31.22,true
5200554551,29.75,true
5200554552,37.19,true
5200557773,15,true
5200557806,4,true
5200557835,36.66,true
5200557839,41.88,true
5200557845,17.42,true
5200557847,19.62,true
5200557850,17.42,true
5200557853,41.1,true
5200557855,32.77,true
5200557857,32.77,true
5200557858,32.77,true
5200557859,32.77,true
5200557860,32.77,true
5200557861,23.24,true
5200557862,29.74,true
5200557863,37.97,true
5200557864,47.64,true
5200557874,5.12,true
5200557880,6.52,true
5200557902,9.9,true
5200557903,13.2,true
5200557904,11.97,true
5200557905,15.96,true
5200557906,14.1,true
5200557908,18.8,true
5200557909,53.28,true
5200557913,158.94,true
5200557916,0.95,true
5200557917,1.18,true
5200557918,1.42,true
5200557922,0.79,true
5200557923,1.63,true
5200557924,1.96,true
5200557925,0.78,true
5200557926,0.96,true
5200557931,6.66,true
5200557933,0.52,true
5200557934,1.33,true
5200557935,3.07,true
5200557936,4.2,true
5200557937,2.92,true
5200557938,1.81,true
5200557939,2.22,true
5200557940,4.01,true
5200557941,5.81,true
5200557942,8.05,true
5200557944,30.01,true
5200557945,5.38,true
5200557946,9.78,true
5200557948,9.02,true
5200557960,11.46,true
5200557961,14.26,true
5200557962,17.35,true
5200557963,19.25,true
5200557965,16.48,true
5200557966,17.11,true
5200557967,18.24,true
5200557968,29.02,true
5200557969,14.62,true
5200557970,11.17,true
5200557971,3.85,true
5200557972,7.42,true
5200557973,13.06,true
5200557974,18.23,true
5200557975,20.66,true
5200557976,4.34,true
5200557977,6.72,true
5200557978,9.98,true
5200557979,12.17,true
5200557980,18.02,true
5200557981,22.33,true
5200557982,32.04,true
5200557993,13.7,true
5200557994,16.29,true
5200557995,18.42,true
5200557996,21.05,true
5200557997,23.73,true
5200558039,17.35,true
5200558085,26.97,true
5200558098,5.44,true
5200558099,63.94,true
5200558109,27.26,true
5200558124,41.1,true
5200558143,75.6,true
5200558144,66.24,true
5200558145,33.12,true
5200558146,72,true
5200558149,26.97,true
